full_name,repo_id,forked_from,parent_id,hf_parent_id,depth,hf_depth,is_hard_fork,url,counter,percent_with_unique_commits_message,percent_with_unique_commits_sha,num_of_unique_commits_with_message,num_of_unique_commits_with_sha,num_of_commits
valdisrigdon/kafka,47665768,47663018,45297,NULL,2,NULL,0,https://api.github.com/repos/valdisrigdon/kafka,1,1.00,1.00,0,0,2297
allenxiang/kafka,48304237,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/allenxiang/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
dpoldrugo/kafka,48422414,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/dpoldrugo/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
raghavgautam/kafka,48868382,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/raghavgautam/kafka,0,0.00,0.00,1,1,3297
astubbs/kafka,49143814,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/astubbs/kafka,3,0.60,0.60,2,2,4316
wwjiang007/kafka,49176088,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/wwjiang007/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
thijsc/kafka,49178971,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/thijsc/kafka,1,1.00,1.00,0,0,2838
GeoSmith/kafka,49216658,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/GeoSmith/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3505
xiguantiaozhan/kafka,49634845,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/xiguantiaozhan/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3970
husthang/kafka,50332513,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/husthang/kafka,0,0.00,0.00,1,1,2886
SandeshKarkera/kafka,50851153,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/SandeshKarkera/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,2898
cmccabe/kafka,51442173,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/cmccabe/kafka,201,1.00,1.00,0,0,5741
soenkeliebau/kafka,51765539,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/soenkeliebau/kafka,22,1.00,1.00,0,0,6277
scala212-forks/kafka,52693133,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/scala212-forks/kafka,0,0.00,0.00,20,81,1098
smferguson/kafka,52700373,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/smferguson/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3578
fossamagna/kafka,52715189,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/fossamagna/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,2967
dhwanikatagade/kafka,53623886,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/dhwanikatagade/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3017
IG-Group/kafka,53992455,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/IG-Group/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3505
auroraxlh/kafka,54171459,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/auroraxlh/kafka,1,1.00,1.00,0,0,6277
wmarshall484/kafka,55254434,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/wmarshall484/kafka,0,0.00,0.00,2,2,3097
sharad-develop/kafka,55986807,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/sharad-develop/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4215
stevenschlansker/kafka,56283500,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/stevenschlansker/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3185
original-brownbear/kafka,57226611,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/original-brownbear/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3217
delftswa2017/kafka,57288700,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/delftswa2017/kafka,0,0.00,0.00,1,1,3222
tank1314/kafka,57738418,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/tank1314/kafka,0,0.00,0.00,2,2,3487
C0urante/kafka,58409124,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/C0urante/kafka,44,0.98,0.98,1,1,6177
hejiefang/kafka,59723498,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/hejiefang/kafka,18,0.95,0.95,1,1,3982
nicktrav/kafka,60075998,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/nicktrav/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3328
wimvanleuven/kafka,60275073,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/wimvanleuven/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3855
Klarrio/kafka,60750681,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/Klarrio/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4221
vitaly-pushkar/kafka,61012568,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/vitaly-pushkar/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3710
johnma14/kafka,61690405,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/johnma14/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4545
ouertani/kafka,62656203,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ouertani/kafka,54,1.00,1.00,0,0,6277
mihbor/kafka,62763713,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/mihbor/kafka,4,1.00,1.00,0,0,5478
jedichien/kafka,63427522,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/jedichien/kafka,0,0.00,0.00,19,28,4655
sravanimantha/kafka,63437321,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/sravanimantha/kafka,0,0.00,0.00,2,2,3460
cloudurable/kafka,63679265,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/cloudurable/kafka,0,0.00,0.00,2,2,3955
andrasbeni/kafka,64480429,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/andrasbeni/kafka,11,0.92,0.92,1,1,4549
ambroff/kafka,65297834,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ambroff/kafka,4,1.00,1.00,0,0,3600
subnova/kafka,65548672,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/subnova/kafka,0,0.00,0.00,1,1,3684
viktorsomogyi/kafka,65695645,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/viktorsomogyi/kafka,114,1.00,1.00,0,0,6277
cognitree/kafka,66145619,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/cognitree/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3672
huxihx/kafka,66291678,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/huxihx/kafka,165,1.00,1.00,0,0,6277
ppatierno/kafka,66616299,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ppatierno/kafka,40,1.00,1.00,0,0,6277
utenakr/kafka,66756253,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/utenakr/kafka,0,0.00,0.00,3,3,3751
matzew/kafka,67539743,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/matzew/kafka,2,1.00,1.00,0,0,3809
ox123/kafka,67574661,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ox123/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
jemaiah/kafka,68603677,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/jemaiah/kafka,0,0.00,0.00,5,5,4382
manmedia/kafka,69148660,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/manmedia/kafka,0,0.00,0.00,2,2,4705
yussufsh/kafka,69260855,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/yussufsh/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,3914
joel-hamill/kafka,71550566,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/joel-hamill/kafka,14,1.00,1.00,0,0,4000
mrsrinivas/kafka,72056962,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/mrsrinivas/kafka,6,1.00,1.00,0,0,6277
abbccdda/kafka,72759831,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/abbccdda/kafka,137,1.00,1.00,0,0,6277
ConcurrencyPractitioner/kafka,73087323,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ConcurrencyPractitioner/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
tedyu/kafka,73579424,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/tedyu/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
eu657/kafka,75370613,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/eu657/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4201
shivsantham/kafka,76010177,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/shivsantham/kafka,3,1.00,1.00,0,0,4738
gilles-degols/kafka,76584359,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/gilles-degols/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4285
bartdevylder/kafka,76875991,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/bartdevylder/kafka,6,1.00,1.00,0,0,4955
sriksun/kafka,77598659,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/sriksun/kafka,0,0.00,0.00,2,2,4532
farmdawgnation/kafka,78000650,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/farmdawgnation/kafka,27,1.00,1.00,0,0,4997
lightbend/kafka,79114929,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/lightbend/kafka,27,1.00,1.00,0,0,4946
wicknicks/kafka,79992205,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/wicknicks/kafka,136,1.00,1.00,0,0,6277
sachinbhalekar/kafka,80303691,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/sachinbhalekar/kafka,2,0.22,0.20,7,8,4434
sagarchavan3172/kafka,80410371,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/sagarchavan3172/kafka,1,0.50,0.50,1,1,4425
qiao-meng-zefr/kafka,81534979,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/qiao-meng-zefr/kafka,25,1.00,1.00,0,0,4796
Gitomain/kafka,83433898,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/Gitomain/kafka,13,1.00,1.00,0,0,4486
kdrakon/kafka,83553119,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/kdrakon/kafka,2,1.00,1.00,0,0,5053
rootex-/kafka,83996497,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/rootex-/kafka,33,0.79,0.45,9,41,6318
kamalcph/kafka,85186292,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/kamalcph/kafka,48,1.00,1.00,0,0,6277
gunnarmorling/kafka,85880680,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/gunnarmorling/kafka,4,1.00,1.00,0,0,4556
brandonkirchner/kafka,86029344,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/brandonkirchner/kafka,3,1.00,1.00,0,0,4562
jonlee2/kafka,86068236,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/jonlee2/kafka,7,0.05,0.05,142,147,4236
rayokota/kafka,86414428,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/rayokota/kafka,55,1.00,1.00,0,0,5319
mageshn/kafka,86519578,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/mageshn/kafka,45,1.00,1.00,0,0,6277
gitlw/kafka,86550791,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/gitlw/kafka,0,0.00,0.00,34,122,6341
lepolac/kafka,87100820,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/lepolac/kafka,26,1.00,1.00,0,0,4605
parafiend/kafka,87231243,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/parafiend/kafka,5,1.00,1.00,0,0,4614
nk3310/kafka,87399602,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/nk3310/kafka,0,0.00,0.00,2,2,4715
mmm311/kafka,87564477,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/mmm311/kafka,0,0.00,0.00,1,1,5647
ying-zheng/kafka,87739017,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ying-zheng/kafka,17,0.89,0.89,2,2,5230
TolerableCoder/kafka,87864048,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/TolerableCoder/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6066
asasvari/kafka,88658164,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/asasvari/kafka,19,0.95,0.95,1,1,5770
smurakozi/kafka,88694784,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/smurakozi/kafka,19,0.73,0.73,7,7,5275
jeis2497052/kafka,88810087,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/jeis2497052/kafka,1,0.50,0.50,1,1,5566
dhruvilshah3/kafka,88935649,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/dhruvilshah3/kafka,129,1.00,1.00,0,0,6277
Matzz/kafka,89360091,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/Matzz/kafka,2,1.00,1.00,0,0,6022
80d000/kafka,89370037,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/80d000/kafka,0,0.00,0.00,1,1,5967
big-andy-coates/kafka,89421651,19722742,45297,NULL,2,NULL,0,https://api.github.com/repos/big-andy-coates/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4730
wangshao/kafka,89902393,19722742,45297,NULL,2,NULL,0,https://api.github.com/repos/wangshao/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,4742
khaireddine120/kafka,90597511,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/khaireddine120/kafka,38,1.00,1.00,0,0,6277
vvcephei/kafka,90720004,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/vvcephei/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
yuyang08/kafka,90723136,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/yuyang08/kafka,5,1.00,1.00,0,0,5660
chia7712/kafka,91551236,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/chia7712/kafka,41,1.00,1.00,0,0,6277
ro7m/kafka,93429482,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ro7m/kafka,6,0.86,0.86,1,1,4898
koqizhao/kafka,94565071,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/koqizhao/kafka,13,1.00,0.65,0,7,4890
cyrusv/kafka,94838368,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/cyrusv/kafka,17,1.00,1.00,0,0,6277
rushstreet/kafka,95224143,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/rushstreet/kafka,0,0.00,0.00,15,15,4922
Fuud/kafka,96832156,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/Fuud/kafka,2,1.00,1.00,0,0,4959
noarter/kafka,97938160,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/noarter/kafka,1,0.20,0.17,4,5,6177
glasser/kafka,98122456,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/glasser/kafka,2,1.00,1.00,0,0,5008
maytals/kafka-1,98760180,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/maytals/kafka-1,8,1.00,1.00,0,0,5029
vpopov89/kafka,99183673,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/vpopov89/kafka,0,0.00,0.00,1,1,5050
birdgodtech/kafka,99396761,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/birdgodtech/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,5195
shunge/kafka,100548431,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/shunge/kafka,6,1.00,1.00,0,0,6277
LSHP/kafka,100915713,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/LSHP/kafka,0,0.00,0.00,2,2,5235
stanislavkozlovski/kafka,102179286,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/stanislavkozlovski/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
pas725/kafka,102784986,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/pas725/kafka,3,1.00,1.00,0,0,6277
DeuroIO/Deuro-kafka,103227858,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/DeuroIO/Deuro-kafka,0,0.00,0.00,11,11,5644
LLcat1217/kafka,103456532,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/LLcat1217/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
wishabi/kafka,103619468,66441603,45297,NULL,2,NULL,0,https://api.github.com/repos/wishabi/kafka,30,1.00,1.00,0,0,6119
chaplinthink/kafka,103883936,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/chaplinthink/kafka,1,1.00,1.00,0,0,5235
bob-barrett/kafka,104191426,19722742,45297,NULL,2,NULL,0,https://api.github.com/repos/bob-barrett/kafka,39,1.00,1.00,0,0,5612
jonathansantilli/kafka,105006719,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/jonathansantilli/kafka,4,1.00,1.00,0,0,6277
Lincong/kafka,107532557,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/Lincong/kafka,9,0.07,0.06,121,134,5422
xiowu0/kafka,107628166,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/xiowu0/kafka,17,1.00,1.00,0,0,5658
xiaoxiaogua/kafka,107700623,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/xiaoxiaogua/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,5881
sumannewton/kafka,108509014,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/sumannewton/kafka,10,1.00,1.00,0,0,6277
linkedin/kafka,108546490,45297,45297,108546490,1,0,1,https://api.github.com/repos/linkedin/kafka,0,0.00,0.00,53,53,6330
brary/kafka,109562004,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/brary/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
Captainhzy/kafka,110037940,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/Captainhzy/kafka,64,0.94,0.89,4,8,6020
huangyiminghappy/kafka,110329938,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/huangyiminghappy/kafka,5,1.00,1.00,0,0,6277
ryannedolan/kafka,111264619,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ryannedolan/kafka,34,1.00,1.00,0,0,6277
harelba/kafka,112267483,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/harelba/kafka,6,1.00,1.00,0,0,5518
colinhicks/kafka,112820396,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/colinhicks/kafka,17,1.00,1.00,0,0,5540
cshuig/kafka,113097968,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/cshuig/kafka,0,0.00,0.00,84,246,4873
yangxi/kafka,113241089,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/yangxi/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6359
BirdHowl/kafka,113857224,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/BirdHowl/kafka,2,1.00,1.00,0,0,5564
mdeverdelhan/kafka,114047832,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/mdeverdelhan/kafka,1,0.50,0.50,1,1,5570
ejpearson/kafka,114960266,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ejpearson/kafka,0,0.00,0.00,2,2,5641
bitpusherllc/kafka,116341921,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/bitpusherllc/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,5613
sh-abhi/kafka,116816231,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/sh-abhi/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
avocader/kafka,119715025,19722742,45297,NULL,2,NULL,0,https://api.github.com/repos/avocader/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
AndrewJSchofield/kafka,121339336,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/AndrewJSchofield/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6051
nguyant/kafka,122009066,108546490,45297,108546490,2,1,1,https://api.github.com/repos/nguyant/kafka,0,0.00,0.00,145,150,4239
ernest-bruce/kafka,122115697,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ernest-bruce/kafka,0,0.00,0.00,2,2,5737
acres4/kafka,122245016,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/acres4/kafka,3,1.00,1.00,0,0,5738
ableegoldman/kafka,123376742,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ableegoldman/kafka,162,1.00,1.00,0,0,6277
tbaldo/kafka,123735569,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/tbaldo/kafka,1,1.00,1.00,0,0,5799
jsancio/kafka,125288138,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/jsancio/kafka,41,1.00,1.00,0,0,5841
ctchenn/kafka,125371699,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/ctchenn/kafka,5,1.00,1.00,0,0,5927
pgwhalen/kafka,126380955,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/pgwhalen/kafka,37,1.00,1.00,0,0,5875
casey-green/kafka,127117151,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/casey-green/kafka,4,1.00,1.00,0,0,5899
chasewalden/kafka,127728649,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/chasewalden/kafka,2,1.00,1.00,0,0,5914
pierDipi/kafka,127797815,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/pierDipi/kafka,9,1.00,1.00,0,0,6277
pkleindl/kafka,127842462,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/pkleindl/kafka,57,1.00,1.00,0,0,5927
kondetibharat/kafka,128016616,33225550,45297,NULL,2,NULL,0,https://api.github.com/repos/kondetibharat/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
yeralin/kafka,129116829,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/yeralin/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
londoncalling/kafka,129339044,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/londoncalling/kafka,10,1.00,1.00,0,0,6277
JiMu-Bao/kafka,130349824,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/JiMu-Bao/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,6277
sdreynolds/kafka,132472987,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/sdreynolds/kafka,3,1.00,1.00,0,0,6064
scalabreseGD/kafka,134963948,19722742,45297,NULL,2,NULL,0,https://api.github.com/repos/scalabreseGD/kafka,0,0.00,0.00,3,3,6131
nexiahome/kafka,135237400,116341921,45297,NULL,2,NULL,0,https://api.github.com/repos/nexiahome/kafka,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,5613
jasonwang1988/kafka,135881700,45297,45297,NULL,1,NULL,0,https://api.github.com/repos/jasonwang1988/kafka,0,0.00,0.00,2,2,6199
Tux2/GriefPrevention,2700216,59758,59758,NULL,1,NULL,0,https://api.github.com/repos/Tux2/GriefPrevention,58,0.14,0.13,365,386,419
clienthax/GriefPrevention,5567455,59758,59758,NULL,1,NULL,0,https://api.github.com/repos/clienthax/GriefPrevention,1,1.00,1.00,0,0,535
Alshain01/GriefPrevention,6440430,2700216,59758,NULL,2,NULL,0,https://api.github.com/repos/Alshain01/GriefPrevention,13,1.00,1.00,0,0,417
10becja/GriefPreventionPVP,13818812,59758,59758,13818812,1,0,1,https://api.github.com/repos/10becja/GriefPreventionPVP,0,0.00,0.00,92,97,819
MineYourMind/GriefPrevention,14327657,59758,59758,NULL,1,NULL,0,https://api.github.com/repos/MineYourMind/GriefPrevention,1,0.03,0.02,38,40,521
techfortress/GriefPrevention,32981761,59758,59758,NULL,1,NULL,0,https://api.github.com/repos/techfortress/GriefPrevention,0,0.00,0.00,201,206,928
CweepahCraft/GriefPrevention,33397354,59758,59758,NULL,1,NULL,0,https://api.github.com/repos/CweepahCraft/GriefPrevention,1,0.01,0.01,101,132,854
erik1988/GriefPrevention,46324701,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/erik1988/GriefPrevention,1,0.50,0.50,1,1,800
soliddanii/GriefPrevention,48970603,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/soliddanii/GriefPrevention,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,831
Eufranio/GriefPrevention,55383147,27393093,59758,NULL,2,NULL,0,https://api.github.com/repos/Eufranio/GriefPrevention,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,1325
Rodzynus/GriefPrevention,57931272,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/Rodzynus/GriefPrevention,3,0.27,0.27,8,8,849
Ceees2/GriefPrevention,58517078,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/Ceees2/GriefPrevention,5,0.56,0.45,4,6,835
jacob1/GriefPrevention,65410131,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/jacob1/GriefPrevention,9,0.82,0.82,2,2,930
ghacproductions/GriefPrevention-1,68327457,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/ghacproductions/GriefPrevention-1,0,0.00,0.00,2,2,822
dualspiral/GriefPrevention,70173985,27393093,59758,NULL,2,NULL,0,https://api.github.com/repos/dualspiral/GriefPrevention,2,1.00,1.00,0,0,941
Sirse/GriefPreventionPlus,72361204,16224769,59758,NULL,2,NULL,0,https://api.github.com/repos/Sirse/GriefPreventionPlus,0,0.00,0.00,127,135,474
RTLSponge/GriefPrevention,84995179,27393093,59758,NULL,2,NULL,0,https://api.github.com/repos/RTLSponge/GriefPrevention,1,0.50,0.50,1,1,1124
Rubbertjuh/GriefPrevention,90191392,27393093,59758,NULL,2,NULL,0,https://api.github.com/repos/Rubbertjuh/GriefPrevention,0,0.00,0.00,7,8,1172
Narimm/GriefPrevention,91728874,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/Narimm/GriefPrevention,4,0.67,0.67,2,2,843
zedwick/GriefPrevention,104835797,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/zedwick/GriefPrevention,9,1.00,1.00,0,0,845
javacraft/GriefPrevention,105624685,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/javacraft/GriefPrevention,4,0.50,0.50,4,4,851
AnotherFoxGuy/GriefPrevention,106858107,32981761,59758,NULL,2,NULL,0,https://api.github.com/repos/AnotherFoxGuy/GriefPrevention,1,0.50,0.50,1,1,858
imod/backend-update-center2,67536,67521,67521,NULL,1,NULL,0,https://api.github.com/repos/imod/backend-update-center2,4,1.00,1.00,0,0,255
ikedam/backend-update-center2,2619272,67521,67521,2619272,1,0,1,https://api.github.com/repos/ikedam/backend-update-center2,0,0.00,0.00,40,40,316
olivergondza/backend-update-center2,4352818,2619272,67521,2619272,2,1,1,https://api.github.com/repos/olivergondza/backend-update-center2,10,1.00,1.00,0,0,307
daniel-beck/backend-update-center2,18733452,67521,67521,NULL,1,NULL,0,https://api.github.com/repos/daniel-beck/backend-update-center2,0,has not unique commit and parent pull request,has not unique commit and parent pull request,0,0,1029
orrc/backend-update-center2,19625090,67521,67521,NULL,1,NULL,0,https://api.github.com/repos/orrc/backend-update-center2,17,1.00,1.00,0,0,1029
